state_abbr,state,year,yearend,topic,question,value,datavaluetype,datavalueunit,group_type,group
KY,Kentucky,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",221.9,Crude Rate,"cases per 100,000",Race/Ethnicity,"White, non-Hispanic"
MN,Minnesota,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",108.0,Age-adjusted Rate,"cases per 100,000",Race/Ethnicity,"White, non-Hispanic"
MN,Minnesota,2021,2021,Diabetes,Gestational diabetes among women with a recent live birth,9.7,Crude Prevalence,%,Race/Ethnicity,"Multiracial, non-Hispanic"
MS,Mississippi,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",220.2,Crude Rate,"cases per 100,000",Age,Age 45-64
MS,Mississippi,2021,2021,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",57.0,Number,Number,Race/Ethnicity,"White, non-Hispanic"
LA,Louisiana,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",3272.0,Number,Number,Sex,Male
MD,Maryland,2021,2021,Diabetes,Diabetes among adults,13.4,Age-adjusted Prevalence,%,Race/Ethnicity,"Asian, non-Hispanic"
KY,Kentucky,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",5058.0,Number,Number,Sex,Male
MO,Missouri,2021,2021,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",32.0,Number,Number,Race/Ethnicity,"Black, non-Hispanic"
MI,Michigan,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",93.9,Age-adjusted Rate,"cases per 100,000",Overall,Overall
MA,Massachusetts,2021,2021,Diabetes,Gestational diabetes among women with a recent live birth,13.6,Crude Prevalence,%,Race/Ethnicity,Hispanic
MA,Massachusetts,2021,2021,Diabetes,Diabetes among adults,7.0,Age-adjusted Prevalence,%,Race/Ethnicity,"White, non-Hispanic"
MA,Massachusetts,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",2919.0,Number,Number,Sex,Male
ME,Maine,2021,2021,Diabetes,Diabetes among adults,11.6,Age-adjusted Prevalence,%,Race/Ethnicity,"Multiracial, non-Hispanic"
MT,Montana,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",113.2,Crude Rate,"cases per 100,000",Sex,Female
MT,Montana,2021,2021,Diabetes,Diabetes among adults,8.7,Crude Prevalence,%,Sex,Female
NC,North Carolina,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",33.8,Crude Rate,"cases per 100,000",Race/Ethnicity,"Asian, non-Hispanic"
NC,North Carolina,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",11.1,Crude Rate,"cases per 100,000",Race/Ethnicity,"Multiracial, non-Hispanic"
NH,New Hampshire,2021,2021,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",23.0,Number,Number,Race/Ethnicity,"White, non-Hispanic"
NH,New Hampshire,2021,2021,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",1.9,Crude Rate,"cases per 100,000",Race/Ethnicity,"White, non-Hispanic"
NJ,New Jersey,2021,2021,Diabetes,Diabetes among adults,7.9,Age-adjusted Prevalence,%,Sex,Female
NC,North Carolina,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",6695.0,Number,Number,Sex,Male
NM,New Mexico,2021,2021,Diabetes,Diabetes among adults,19.1,Crude Prevalence,%,Age,Age 45-64
NH,New Hampshire,2021,2021,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",1.8,Crude Rate,"cases per 100,000",Overall,Overall
NC,North Carolina,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",6.5,Crude Rate,"cases per 100,000",Age,Age 0-44
NC,North Carolina,2021,2021,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",112.0,Number,Number,Age,Age 45-64
NM,New Mexico,2021,2021,Diabetes,Gestational diabetes among women with a recent live birth,13.7,Crude Prevalence,%,Race/Ethnicity,Hispanic
NY,New York,2021,2021,Diabetes,Diabetes among adults,16.4,Crude Prevalence,%,Age,Age 45-64
NY,New York,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",10271.0,Number,Number,Sex,Male
MT,Montana,2021,2021,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",3.5,Crude Rate,"cases per 100,000",Race/Ethnicity,"White, non-Hispanic"
NM,New Mexico,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",65.0,Number,Number,Race/Ethnicity,"Black, non-Hispanic"
NH,New Hampshire,2021,2021,Diabetes,Diabetes among adults,7.3,Age-adjusted Prevalence,%,Overall,Overall
NE,Nebraska,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",116.1,Age-adjusted Rate,"cases per 100,000",Race/Ethnicity,"White, non-Hispanic"
MT,Montana,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",104.1,Crude Rate,"cases per 100,000",Race/Ethnicity,Hispanic
NM,New Mexico,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",74.9,Age-adjusted Rate,"cases per 100,000",Race/Ethnicity,"White, non-Hispanic"
NE,Nebraska,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",2221.0,Number,Number,Age,Age >=65
NJ,New Jersey,2021,2021,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",3.1,Crude Rate,"cases per 100,000",Age,Age 45-64
NJ,New Jersey,2021,2021,Diabetes,Diabetes among adults,12.5,Crude Prevalence,%,Age,Age 45-64
NV,Nevada,2021,2021,Diabetes,Diabetes among adults,3.1,Crude Prevalence,%,Age,Age 18-44
NV,Nevada,2021,2021,Diabetes,Diabetes among adults,9.8,Age-adjusted Prevalence,%,Race/Ethnicity,"Black, non-Hispanic"
NH,New Hampshire,2021,2021,Diabetes,Diabetes among adults,7.1,Age-adjusted Prevalence,%,Race/Ethnicity,"White, non-Hispanic"
NY,New York,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",18737.0,Number,Number,Overall,Overall
NJ,New Jersey,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",178.0,Number,Number,Age,Age 0-44
NJ,New Jersey,2021,2021,Diabetes,Diabetes among adults,13.6,Age-adjusted Prevalence,%,Race/Ethnicity,Hispanic
NE,Nebraska,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",495.0,Number,Number,Age,Age 45-64
NY,New York,2021,2021,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",2.8,Crude Rate,"cases per 100,000",Age,Age 45-64
NE,Nebraska,2021,2021,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",22.0,Number,Number,Age,Age >=65
NY,New York,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",417.4,Crude Rate,"cases per 100,000",Age,Age >=65
NE,Nebraska,2021,2021,Diabetes,Gestational diabetes among women with a recent live birth,10.9,Crude Prevalence,%,Overall,Overall
NC,North Carolina,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",152.3,Age-adjusted Rate,"cases per 100,000",Race/Ethnicity,"Black, non-Hispanic"
NV,Nevada,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",47.0,Number,Number,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic"
NE,Nebraska,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",91.1,Age-adjusted Rate,"cases per 100,000",Sex,Female
NY,New York,2021,2021,Diabetes,Diabetes among adults,7.5,Age-adjusted Prevalence,%,Race/Ethnicity,"White, non-Hispanic"
NJ,New Jersey,2021,2021,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",2.4,Crude Rate,"cases per 100,000",Race/Ethnicity,"White, non-Hispanic"
NJ,New Jersey,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",409.0,Number,Number,Race/Ethnicity,"Asian, non-Hispanic"
NM,New Mexico,2021,2021,Diabetes,Diabetes among adults,13.7,Crude Prevalence,%,Sex,Female
NY,New York,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",3.9,Crude Rate,"cases per 100,000",Age,Age 0-44
NV,Nevada,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",505.9,Crude Rate,"cases per 100,000",Age,Age >=65
NC,North Carolina,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",84.1,Age-adjusted Rate,"cases per 100,000",Race/Ethnicity,"White, non-Hispanic"
NV,Nevada,2021,2021,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",105.4,Crude Rate,"cases per 100,000",Race/Ethnicity,"Asian, non-Hispanic"
