state_abbr,state,year,yearend,topic,question,value,datavaluetype,datavalueunit,group_type,group
TX,Texas,2019,2019,Diabetes,Diabetes among adults,12.4,Age-adjusted Prevalence,%,Race/Ethnicity,"Black, non-Hispanic"
SC,South Carolina,2019,2019,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",1.6,Age-adjusted Rate,"cases per 100,000",Sex,Female
PA,Pennsylvania,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",89.3,Crude Rate,"cases per 100,000",Overall,Overall
PA,Pennsylvania,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",80.3,Crude Rate,"cases per 100,000",Sex,Female
RI,Rhode Island,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",34.8,Crude Rate,"cases per 100,000",Race/Ethnicity,Hispanic
TN,Tennessee,2019,2019,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",109.0,Number,Number,Sex,Female
US,United States,2019,2019,Diabetes,Gestational diabetes among women with a recent live birth,9.1,Crude Prevalence,%,Race/Ethnicity,"White, non-Hispanic"
TN,Tennessee,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",3295.0,Number,Number,Sex,Female
TX,Texas,2019,2019,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",238.0,Number,Number,Age,Age 45-64
US,United States,2019,2019,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",4.2,Crude Rate,"cases per 100,000",Age,Age >=65
PA,Pennsylvania,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",88.5,Age-adjusted Rate,"cases per 100,000",Race/Ethnicity,"Black, non-Hispanic"
OR,Oregon,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",76.9,Crude Rate,"cases per 100,000",Age,Age 45-64
OR,Oregon,2019,2019,Diabetes,Diabetes among adults,7.5,Age-adjusted Prevalence,%,Sex,Female
TX,Texas,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",103.9,Crude Rate,"cases per 100,000",Race/Ethnicity,"White, non-Hispanic"
TX,Texas,2019,2019,Diabetes,Diabetes among adults,11.9,Age-adjusted Prevalence,%,Overall,Overall
SD,South Dakota,2019,2019,Diabetes,Diabetes among adults,9.8,Crude Prevalence,%,Race/Ethnicity,"White, non-Hispanic"
TN,Tennessee,2019,2019,Diabetes,Diabetes among adults,14.8,Crude Prevalence,%,Race/Ethnicity,"Multiracial, non-Hispanic"
US,United States,2019,2019,Diabetes,Diabetes among adults,9.5,Age-adjusted Prevalence,%,Sex,Female
RI,Rhode Island,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",88.8,Crude Rate,"cases per 100,000",Overall,Overall
US,United States,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",75.4,Age-adjusted Rate,"cases per 100,000",Race/Ethnicity,Hispanic
OR,Oregon,2019,2019,Diabetes,Diabetes among adults,10.1,Age-adjusted Prevalence,%,Race/Ethnicity,Hispanic
SD,South Dakota,2019,2019,Diabetes,Diabetes among adults,2.9,Crude Prevalence,%,Age,Age 18-44
RI,Rhode Island,2019,2019,Diabetes,Diabetes among adults,17.0,Age-adjusted Prevalence,%,Race/Ethnicity,Hispanic
SC,South Carolina,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",119.3,Age-adjusted Rate,"cases per 100,000",Race/Ethnicity,"Black, non-Hispanic"
TN,Tennessee,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",4091.0,Number,Number,Sex,Male
TN,Tennessee,2019,2019,Diabetes,Diabetes among adults,13.8,Crude Prevalence,%,Overall,Overall
US,United States,2019,2019,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",1.5,Age-adjusted Rate,"cases per 100,000",Race/Ethnicity,Hispanic
TX,Texas,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",112.5,Age-adjusted Rate,"cases per 100,000",Race/Ethnicity,"Hawaiian or Pacific Islander, non-Hispanic"
TN,Tennessee,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",42.0,Age-adjusted Rate,"cases per 100,000",Race/Ethnicity,Hispanic
RI,Rhode Island,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",21.0,Number,Number,Age,Age 0-44
PA,Pennsylvania,2019,2019,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",1.1,Age-adjusted Rate,"cases per 100,000",Race/Ethnicity,"White, non-Hispanic"
OR,Oregon,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",145.8,Age-adjusted Rate,"cases per 100,000",Race/Ethnicity,"Black, non-Hispanic"
SC,South Carolina,2019,2019,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",52.0,Number,Number,Age,Age >=65
SD,South Dakota,2019,2019,Diabetes,Gestational diabetes among women with a recent live birth,12.7,Crude Prevalence,%,Race/Ethnicity,Hispanic
TN,Tennessee,2019,2019,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",77.0,Number,Number,Age,Age 45-64
TX,Texas,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",44.6,Crude Rate,"cases per 100,000",Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic"
RI,Rhode Island,2019,2019,Diabetes,Diabetes among adults,13.9,Crude Prevalence,%,Age,Age 45-64
RI,Rhode Island,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",521.0,Number,Number,Sex,Male
TX,Texas,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",7.9,Crude Rate,"cases per 100,000",Race/Ethnicity,"Multiracial, non-Hispanic"
SD,South Dakota,2019,2019,Diabetes,Diabetes among adults,16.9,Age-adjusted Prevalence,%,Race/Ethnicity,Hispanic
TN,Tennessee,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",41.0,Number,Number,Race/Ethnicity,"Asian, non-Hispanic"
SC,South Carolina,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",3686.0,Number,Number,Age,Age >=65
US,United States,2019,2019,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",2.6,Crude Rate,"cases per 100,000",Age,Age 45-64
TX,Texas,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",5638.0,Number,Number,Age,Age 45-64
OR,Oregon,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",112.3,Crude Rate,"cases per 100,000",Overall,Overall
PA,Pennsylvania,2019,2019,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",78.0,Number,Number,Sex,Female
SC,South Carolina,2019,2019,Diabetes,Diabetes among adults,16.3,Crude Prevalence,%,Race/Ethnicity,"Black, non-Hispanic"
RI,Rhode Island,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",107.3,Crude Rate,"cases per 100,000",Race/Ethnicity,"White, non-Hispanic"
TX,Texas,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",13158.0,Number,Number,Sex,Male
SC,South Carolina,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",16.9,Crude Rate,"cases per 100,000",Race/Ethnicity,Hispanic
PA,Pennsylvania,2019,2019,Diabetes,Diabetes among adults,21.7,Crude Prevalence,%,Age,Age >=65
RI,Rhode Island,2019,2019,Diabetes,Diabetes among adults,9.2,Crude Prevalence,%,Sex,Female
TX,Texas,2019,2019,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",2.1,Age-adjusted Rate,"cases per 100,000",Overall,Overall
US,United States,2019,2019,Diabetes,Gestational diabetes among women with a recent live birth,13.0,Crude Prevalence,%,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic"
PA,Pennsylvania,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",34.3,Age-adjusted Rate,"cases per 100,000",Race/Ethnicity,"Asian, non-Hispanic"
PA,Pennsylvania,2019,2019,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",0.5,Crude Rate,"cases per 100,000",Age,Age 0-44
PA,Pennsylvania,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",381.6,Crude Rate,"cases per 100,000",Age,Age >=65
TN,Tennessee,2019,2019,Diabetes,Diabetes among adults,13.1,Crude Prevalence,%,Sex,Female
OR,Oregon,2019,2019,Diabetes,Diabetes among adults,11.2,Crude Prevalence,%,Age,Age 45-64
RI,Rhode Island,2019,2019,Diabetes,Diabetes among adults,13.8,Age-adjusted Prevalence,%,Race/Ethnicity,"Black, non-Hispanic"
TN,Tennessee,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",108.2,Crude Rate,"cases per 100,000",Overall,Overall
OR,Oregon,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",187.4,Crude Rate,"cases per 100,000",Race/Ethnicity,"Hawaiian or Pacific Islander, non-Hispanic"
SC,South Carolina,2019,2019,Diabetes,Diabetes among adults,13.4,Crude Prevalence,%,Overall,Overall
TX,Texas,2019,2019,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",2.1,Age-adjusted Rate,"cases per 100,000",Race/Ethnicity,"White, non-Hispanic"
OR,Oregon,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",83.0,Number,Number,Age,Age 0-44
SC,South Carolina,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",2253.0,Number,Number,Sex,Female
RI,Rhode Island,2019,2019,Diabetes,Gestational diabetes among women with a recent live birth,9.3,Crude Prevalence,%,Race/Ethnicity,"White, non-Hispanic"
SC,South Carolina,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",34.3,Age-adjusted Rate,"cases per 100,000",Race/Ethnicity,"Asian, non-Hispanic"
TX,Texas,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",3434.0,Number,Number,Race/Ethnicity,"Black, non-Hispanic"
OR,Oregon,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",2682.0,Number,Number,Sex,Male
PA,Pennsylvania,2019,2019,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",1.6,Crude Rate,"cases per 100,000",Sex,Male
US,United States,2019,2019,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",1.8,Crude Rate,"cases per 100,000",Race/Ethnicity,"White, non-Hispanic"
OR,Oregon,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",67.8,Age-adjusted Rate,"cases per 100,000",Race/Ethnicity,"Asian, non-Hispanic"
PA,Pennsylvania,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",288.0,Number,Number,Race/Ethnicity,Hispanic
SC,South Carolina,2019,2019,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",124.0,Number,Number,Overall,Overall
PA,Pennsylvania,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",1218.0,Number,Number,Race/Ethnicity,"Black, non-Hispanic"
US,United States,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",47.9,Crude Rate,"cases per 100,000",Race/Ethnicity,"Asian, non-Hispanic"
OR,Oregon,2019,2019,Diabetes,Gestational diabetes among women with a recent live birth,8.9,Crude Prevalence,%,Race/Ethnicity,"Multiracial, non-Hispanic"
OR,Oregon,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",46.9,Age-adjusted Rate,"cases per 100,000",Race/Ethnicity,"Multiracial, non-Hispanic"
SD,South Dakota,2019,2019,Diabetes,Gestational diabetes among women with a recent live birth,8.9,Crude Prevalence,%,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic"
SD,South Dakota,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",271.6,Age-adjusted Rate,"cases per 100,000",Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic"
OR,Oregon,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",96.6,Crude Rate,"cases per 100,000",Sex,Female
TX,Texas,2019,2019,Diabetes,Diabetes among adults,3.6,Crude Prevalence,%,Age,Age 18-44
US,United States,2019,2019,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",1.5,Age-adjusted Rate,"cases per 100,000",Overall,Overall
PA,Pennsylvania,2019,2019,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",1.4,Crude Rate,"cases per 100,000",Overall,Overall
PA,Pennsylvania,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",62.7,Age-adjusted Rate,"cases per 100,000",Overall,Overall
PA,Pennsylvania,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",79.7,Age-adjusted Rate,"cases per 100,000",Sex,Male
TX,Texas,2019,2019,Diabetes,Diabetes among adults,16.9,Age-adjusted Prevalence,%,Race/Ethnicity,Hispanic
TX,Texas,2019,2019,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",1.7,Crude Rate,"cases per 100,000",Race/Ethnicity,Hispanic
RI,Rhode Island,2019,2019,Diabetes,Diabetes among adults,11.0,Crude Prevalence,%,Race/Ethnicity,"Black, non-Hispanic"
OR,Oregon,2019,2019,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",27.0,Number,Number,Age,Age 45-64
SC,South Carolina,2019,2019,Diabetes,Diabetes among adults,24.9,Crude Prevalence,%,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic"
TN,Tennessee,2019,2019,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",166.0,Number,Number,Race/Ethnicity,"White, non-Hispanic"
TX,Texas,2019,2019,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",1.9,Crude Rate,"cases per 100,000",Sex,Female
OR,Oregon,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",59.4,Crude Rate,"cases per 100,000",Race/Ethnicity,"Asian, non-Hispanic"
PA,Pennsylvania,2019,2019,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",176.0,Number,Number,Overall,Overall
PA,Pennsylvania,2019,2019,Diabetes,Gestational diabetes among women with a recent live birth,13.9,Crude Prevalence,%,Race/Ethnicity,"White, non-Hispanic"
TN,Tennessee,2019,2019,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",39.0,Number,Number,Race/Ethnicity,"Black, non-Hispanic"
US,United States,2019,2019,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",3140.0,Number,Number,Sex,Male
SC,South Carolina,2019,2019,Diabetes,Diabetes among adults,11.7,Age-adjusted Prevalence,%,Overall,Overall
SC,South Carolina,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",3167.0,Number,Number,Race/Ethnicity,"White, non-Hispanic"
US,United States,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",69.3,Age-adjusted Rate,"cases per 100,000",Overall,Overall
US,United States,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",103.7,Crude Rate,"cases per 100,000",Race/Ethnicity,"Hawaiian or Pacific Islander, non-Hispanic"
PA,Pennsylvania,2019,2019,Diabetes,Gestational diabetes among women with a recent live birth,17.0,Crude Prevalence,%,Race/Ethnicity,"Asian, non-Hispanic"
TX,Texas,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",32.3,Crude Rate,"cases per 100,000",Race/Ethnicity,"Asian, non-Hispanic"
TX,Texas,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",17291.0,Number,Number,Age,Age >=65
OR,Oregon,2019,2019,Diabetes,Gestational diabetes among women with a recent live birth,18.0,Crude Prevalence,%,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic"
US,United States,2019,2019,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",0.8,Age-adjusted Rate,"cases per 100,000",Race/Ethnicity,"Asian, non-Hispanic"
OR,Oregon,2019,2019,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",1.7,Crude Rate,"cases per 100,000",Sex,Female
US,United States,2019,2019,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",1.2,Age-adjusted Rate,"cases per 100,000",Sex,Female
US,United States,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",87.9,Age-adjusted Rate,"cases per 100,000",Sex,Male
SC,South Carolina,2019,2019,Diabetes,Diabetes among adults,12.9,Crude Prevalence,%,Race/Ethnicity,"White, non-Hispanic"
PA,Pennsylvania,2019,2019,Diabetes,Diabetes among adults,11.0,Crude Prevalence,%,Sex,Female
OR,Oregon,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",169.0,Number,Number,Race/Ethnicity,Hispanic
TX,Texas,2019,2019,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",257.0,Number,Number,Age,Age >=65
TX,Texas,2019,2019,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",85.0,Number,Number,Race/Ethnicity,"Black, non-Hispanic"
US,United States,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",124996.0,Number,Number,Sex,Female
SC,South Carolina,2019,2019,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",70.0,Number,Number,Race/Ethnicity,"White, non-Hispanic"
TN,Tennessee,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",97.3,Crude Rate,"cases per 100,000",Age,Age 45-64
TX,Texas,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",35.0,Number,Number,Race/Ethnicity,"Multiracial, non-Hispanic"
TN,Tennessee,2019,2019,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",105.0,Number,Number,Sex,Male
US,United States,2019,2019,Diabetes,Diabetes among adults,10.3,Crude Prevalence,%,Race/Ethnicity,"White, non-Hispanic"
PA,Pennsylvania,2019,2019,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",1.9,Age-adjusted Rate,"cases per 100,000",Race/Ethnicity,"Black, non-Hispanic"
TX,Texas,2019,2019,Diabetes,Diabetes among adults,11.0,Crude Prevalence,%,Race/Ethnicity,"White, non-Hispanic"
OR,Oregon,2019,2019,Diabetes,Diabetes among adults,12.9,Crude Prevalence,%,Race/Ethnicity,"Multiracial, non-Hispanic"
OR,Oregon,2019,2019,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",1.7,Crude Rate,"cases per 100,000",Overall,Overall
TN,Tennessee,2019,2019,Diabetes,Diabetes among adults,14.5,Crude Prevalence,%,Sex,Male
TX,Texas,2019,2019,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",3.5,Crude Rate,"cases per 100,000",Age,Age 45-64
SC,South Carolina,2019,2019,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",71.0,Number,Number,Sex,Male
US,United States,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",1356.0,Number,Number,Race/Ethnicity,"Multiracial, non-Hispanic"
US,United States,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",400.7,Crude Rate,"cases per 100,000",Age,Age >=65
SD,South Dakota,2019,2019,Diabetes,Diabetes among adults,8.0,Age-adjusted Prevalence,%,Sex,Female
SD,South Dakota,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",34.0,Number,Number,Age,Age 0-44
US,United States,2019,2019,Diabetes,Diabetes among adults,23.1,Crude Prevalence,%,Age,Age >=65
TN,Tennessee,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",1208.0,Number,Number,Race/Ethnicity,"Black, non-Hispanic"
SD,South Dakota,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",114.3,Age-adjusted Rate,"cases per 100,000",Sex,Male
TN,Tennessee,2019,2019,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",80.0,Number,Number,Age,Age >=65
SC,South Carolina,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",84.8,Crude Rate,"cases per 100,000",Age,Age 45-64
TN,Tennessee,2019,2019,Diabetes,Diabetes among adults,27.2,Crude Prevalence,%,Age,Age >=65
PA,Pennsylvania,2019,2019,Diabetes,Diabetes among adults,16.2,Crude Prevalence,%,Race/Ethnicity,"Black, non-Hispanic"
OR,Oregon,2019,2019,Diabetes,Diabetes among adults,8.6,Crude Prevalence,%,Sex,Female
PR,Puerto Rico,2019,2019,Diabetes,Diabetes among adults,16.7,Crude Prevalence,%,Race/Ethnicity,Hispanic
TN,Tennessee,2019,2019,Diabetes,Diabetes among adults,15.1,Crude Prevalence,%,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic"
TN,Tennessee,2019,2019,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",3.1,Crude Rate,"cases per 100,000",Overall,Overall
TX,Texas,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",62.1,Crude Rate,"cases per 100,000",Race/Ethnicity,Hispanic
PA,Pennsylvania,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",5243.0,Number,Number,Sex,Female
US,United States,2019,2019,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",33.0,Number,Number,Race/Ethnicity,"Multiracial, non-Hispanic"
PR,Puerto Rico,2019,2019,Diabetes,Diabetes among adults,14.5,Age-adjusted Prevalence,%,Overall,Overall
SD,South Dakota,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",884.0,Number,Number,Race/Ethnicity,"White, non-Hispanic"
PR,Puerto Rico,2019,2019,Diabetes,Gestational diabetes among women with a recent live birth,8.6,Crude Prevalence,%,Overall,Overall
TN,Tennessee,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",474.1,Crude Rate,"cases per 100,000",Age,Age >=65
TX,Texas,2019,2019,Diabetes,Diabetes among adults,7.6,Age-adjusted Prevalence,%,Race/Ethnicity,"Asian, non-Hispanic"
RI,Rhode Island,2019,2019,Diabetes,Diabetes among adults,11.8,Crude Prevalence,%,Sex,Male
TX,Texas,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",81.8,Age-adjusted Rate,"cases per 100,000",Overall,Overall
PA,Pennsylvania,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",209.0,Number,Number,Age,Age 0-44
RI,Rhode Island,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",420.0,Number,Number,Sex,Female
SC,South Carolina,2019,2019,Diabetes,Diabetes among adults,10.0,Age-adjusted Prevalence,%,Race/Ethnicity,Hispanic
SC,South Carolina,2019,2019,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",2.0,Crude Rate,"cases per 100,000",Sex,Female
TN,Tennessee,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",51.1,Age-adjusted Rate,"cases per 100,000",Race/Ethnicity,"Asian, non-Hispanic"
SD,South Dakota,2019,2019,Diabetes,Diabetes among adults,22.5,Crude Prevalence,%,Age,Age >=65
OR,Oregon,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",115.0,Crude Rate,"cases per 100,000",Race/Ethnicity,"Black, non-Hispanic"
US,United States,2019,2019,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",0.6,Crude Rate,"cases per 100,000",Age,Age 0-44
PA,Pennsylvania,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",98.7,Crude Rate,"cases per 100,000",Sex,Male
OR,Oregon,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",807.0,Number,Number,Age,Age 45-64
TN,Tennessee,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",116.0,Age-adjusted Rate,"cases per 100,000",Race/Ethnicity,"Black, non-Hispanic"
TN,Tennessee,2019,2019,Diabetes,Diabetes among adults,12.2,Age-adjusted Prevalence,%,Overall,Overall
US,United States,2019,2019,Diabetes,Diabetes among adults,12.0,Crude Prevalence,%,Race/Ethnicity,Hispanic
TX,Texas,2019,2019,Diabetes,Diabetes among adults,7.0,Crude Prevalence,%,Race/Ethnicity,"Asian, non-Hispanic"
OR,Oregon,2019,2019,Diabetes,Gestational diabetes among women with a recent live birth,9.7,Crude Prevalence,%,Race/Ethnicity,"White, non-Hispanic"
RI,Rhode Island,2019,2019,Diabetes,Diabetes among adults,16.9,Age-adjusted Prevalence,%,Race/Ethnicity,"Multiracial, non-Hispanic"
OR,Oregon,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",95.0,Number,Number,Race/Ethnicity,"Black, non-Hispanic"
PA,Pennsylvania,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",28.8,Crude Rate,"cases per 100,000",Race/Ethnicity,Hispanic
US,United States,2019,2019,Diabetes,Gestational diabetes among women with a recent live birth,12.4,Crude Prevalence,%,Race/Ethnicity,"Hawaiian or Pacific Islander, non-Hispanic"
TN,Tennessee,2019,2019,Diabetes,Diabetes among adults,20.8,Age-adjusted Prevalence,%,Race/Ethnicity,"Multiracial, non-Hispanic"
SC,South Carolina,2019,2019,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",5.5,Crude Rate,"cases per 100,000",Age,Age >=65
SD,South Dakota,2019,2019,Diabetes,Gestational diabetes among women with a recent live birth,17.0,Crude Prevalence,%,Race/Ethnicity,"Multiracial, non-Hispanic"
US,United States,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",18.6,Crude Rate,"cases per 100,000",Race/Ethnicity,"Multiracial, non-Hispanic"
TN,Tennessee,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",87.9,Age-adjusted Rate,"cases per 100,000",Overall,Overall
OR,Oregon,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",67.4,Age-adjusted Rate,"cases per 100,000",Sex,Female
TN,Tennessee,2019,2019,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",3.2,Crude Rate,"cases per 100,000",Sex,Male
SC,South Carolina,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",393.4,Crude Rate,"cases per 100,000",Age,Age >=65
TN,Tennessee,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",63.0,Number,Number,Race/Ethnicity,Hispanic
US,United States,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",115.6,Crude Rate,"cases per 100,000",Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic"
PA,Pennsylvania,2019,2019,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",1.5,Crude Rate,"cases per 100,000",Race/Ethnicity,"White, non-Hispanic"
TN,Tennessee,2019,2019,Diabetes,Gestational diabetes among women with a recent live birth,11.0,Crude Prevalence,%,Race/Ethnicity,Hispanic
OR,Oregon,2019,2019,Diabetes,Diabetes among adults,13.3,Age-adjusted Prevalence,%,Race/Ethnicity,"Multiracial, non-Hispanic"
TX,Texas,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",72.5,Age-adjusted Rate,"cases per 100,000",Race/Ethnicity,"White, non-Hispanic"
PA,Pennsylvania,2019,2019,Diabetes,Diabetes among adults,2.9,Crude Prevalence,%,Age,Age 18-44
RI,Rhode Island,2019,2019,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",411.1,Crude Rate,"cases per 100,000",Age,Age >=65
